month,location,Violence and sexual offences,Anti-social behaviour,Public order,Criminal damage and arson,Other theft,Vehicle crime,Burglary,Shoplifting,Drugs,Bicycle theft,Other crime,Robbery,Possession of weapons,Theft from the person,force_name,force_area,population2021,population density,safe_index,safe_index_norm
2020-06-01,avon-and-somerset,4270,3785.0,1721,1137,776,638,603,513,334,248,226,139,78,56,avon-and-somerset,4777.0,1744500,365.1873561,356.8497041948929,0.3414054467265654
2020-06-01,bedfordshire,1526,1539.0,483,409,295,368,237,174,149,106,113,50,23,26,bedfordshire,1024.0,704800,688.28125,69.96761861521,0.06657840098357791
2020-06-01,cambridgeshire,2200,1610.0,559,577,430,303,285,239,200,270,149,36,45,27,cambridgeshire,3389.0,894300,263.8831514,254.9897545296634,0.24382574254441286
2020-06-01,cheshire,3297,2517.0,1144,633,381,135,240,327,172,81,150,30,31,13,cheshire,2346.0,1095100,466.7945439,189.25178358323996,0.1808501394779543
2020-06-01,city-of-london,26,47.0,24,10,22,5,9,48,53,39,15,5,7,13,city-of-london,2.6,8600,3307.692308,0.5710023255282788,9.78920981405562e-05
2020-06-01,cleveland,2352,2713.0,667,698,325,177,297,223,205,46,198,47,54,34,cleveland,597.0,569300,953.60134,75.02170665993401,0.07142011176328657
2020-06-01,cumbria,1375,1016.0,403,373,167,58,115,82,95,23,49,11,21,5,cumbria,6820.0,499800,73.28445748,535.3263345192468,0.5123823306511684
2020-06-01,derbyshire,3220,4265.0,819,716,414,323,270,233,244,84,199,43,101,40,derbyshire,2625.0,1056000,402.2857143,225.99360794652011,0.21604803977404421
2020-06-01,devon-and-cornwall,3580,4105.0,584,1074,508,242,286,308,435,62,177,39,92,29,devon-and-cornwall,10270.0,1788000,174.0993184,615.7663394964791,0.5894421752307758
2020-06-01,dorset,1860,2863.0,317,554,345,344,247,203,119,120,43,36,36,38,dorset,2653.0,779900,293.9690916,195.83963635991995,0.18716116483440454
2020-06-01,durham,2273,2102.0,478,636,373,159,241,198,140,29,172,16,19,34,durham,2232.0,522100,233.9157706,287.12129937937584,0.2746070913636023
2020-06-01,dyfed-powys,1247,1795.0,233,239,172,61,109,78,255,11,79,6,13,5,dyfed-powys,8700.0,516000,59.31034483,601.2104650918112,0.5754979515865646
2020-06-01,essex,6209,5026.0,1531,1316,842,780,546,482,708,173,323,117,108,46,essex,3670.0,1860000,506.8119891,349.10401451669213,0.33398523780274747
2020-06-01,gloucestershire,1417,2711.0,354,377,325,210,189,184,127,79,75,30,23,7,gloucestershire,2650.0,645100,243.4339623,178.98118893659398,0.1710111243332549
2020-06-01,gwent,1738,2123.0,743,127,268,177,163,176,214,23,151,26,28,19,gwent,1555.0,587700,377.9421222,120.42531733447521,0.11491582242272078
2020-06-01,hampshire,5356,4260.0,1574,1218,691,567,673,594,543,221,267,94,200,90,hampshire,4178.0,1998300,478.2910483,326.79892411860556,0.31261742709839535
