month,location,Violence and sexual offences,Anti-social behaviour,Public order,Criminal damage and arson,Other theft,Vehicle crime,Burglary,Shoplifting,Bicycle theft,Drugs,Robbery,Other crime,Theft from the person,Possession of weapons,force_name,force_area,population2021,population density,safe_index
2019-09-01,avon-and-somerset,4130,2972.0,1731.0,1246.0,1135.0,956.0,830.0,805.0,328.0,275.0,149.0,148.0,133.0,89.0,avon-and-somerset,4777.0,1744500,365.1873561,0.3505264642003763
2019-09-01,bedfordshire,1460,1083.0,436.0,434.0,397.0,553.0,360.0,247.0,102.0,87.0,69.0,82.0,56.0,37.0,bedfordshire,1024.0,704800,688.28125,0.06762633750071655
2019-09-01,cambridgeshire,1840,1371.0,549.0,638.0,535.0,481.0,407.0,477.0,471.0,131.0,74.0,114.0,79.0,71.0,cambridgeshire,3389.0,894300,263.8831514,0.23056367502468364
2019-09-01,cheshire,2951,1635.0,1126.0,746.0,565.0,245.0,316.0,553.0,108.0,140.0,53.0,153.0,70.0,29.0,cheshire,2346.0,1095100,466.7945439,0.1742432649249342
2019-09-01,city-of-london,127,115.0,44.0,37.0,188.0,19.0,26.0,64.0,31.0,75.0,13.0,32.0,74.0,8.0,city-of-london,2.6,8600,3307.692308,0.001363420184117339
2019-09-01,cleveland,2194,2465.0,570.0,824.0,471.0,344.0,394.0,627.0,65.0,156.0,61.0,157.0,37.0,52.0,cleveland,597.0,569300,953.60134,0.07238785105973487
2019-09-01,cumbria,1455,567.0,390.0,468.0,246.0,78.0,185.0,152.0,15.0,98.0,9.0,76.0,17.0,24.0,cumbria,6820.0,499800,73.28445748,0.5697921921802365
2019-09-01,derbyshire,2791,2408.0,647.0,696.0,625.0,438.0,458.0,428.0,117.0,165.0,63.0,176.0,57.0,67.0,derbyshire,2625.0,1056000,402.2857143,0.1991119272297365
2019-09-01,devon-and-cornwall,3728,2945.0,606.0,1128.0,738.0,368.0,440.0,511.0,105.0,332.0,43.0,193.0,67.0,90.0,devon-and-cornwall,10270.0,1788000,174.0993184,0.6194811488262727
2019-09-01,dorset,1804,1777.0,306.0,578.0,512.0,442.0,290.0,239.0,118.0,109.0,37.0,42.0,53.0,21.0,dorset,2653.0,779900,293.9690916,0.1876658187308032
2019-09-01,durham,2364,1485.0,437.0,775.0,413.0,239.0,267.0,401.0,40.0,127.0,19.0,137.0,22.0,30.0,durham,2232.0,522100,233.9157706,0.291983852233275
2019-09-01,dyfed-powys,1136,752.0,217.0,320.0,242.0,73.0,121.0,159.0,13.0,144.0,6.0,58.0,8.0,15.0,dyfed-powys,8700.0,516000,59.31034483,0.546874466166839
2019-09-01,essex,5599,3380.0,1389.0,1447.0,1070.0,1318.0,820.0,857.0,236.0,443.0,168.0,329.0,105.0,85.0,essex,3670.0,1860000,506.8119891,0.3209213388896548
2019-09-01,gloucestershire,1446,1483.0,394.0,466.0,359.0,291.0,331.0,258.0,82.0,99.0,44.0,61.0,35.0,40.0,gloucestershire,2650.0,645100,243.4339623,0.18565664341813048
2019-09-01,gwent,1747,869.0,736.0,156.0,386.0,319.0,237.0,273.0,33.0,134.0,23.0,96.0,25.0,26.0,gwent,1555.0,587700,377.9421222,0.11796966158923364
2019-09-01,hampshire,5218,2755.0,1286.0,1379.0,1044.0,1075.0,830.0,935.0,293.0,293.0,114.0,210.0,108.0,157.0,hampshire,4178.0,1998300,478.2910483,0.31632954248933853
