,month,location,Violence and sexual offences,Anti-social behaviour,Public order,Criminal damage and arson,Other theft,Vehicle crime,Burglary,Shoplifting,Drugs,Bicycle theft,Other crime,Robbery,Possession of weapons,Theft from the person
0,2020-06,avon-and-somerset-street,4270,3785.0,1721,1137,776,638,603,513,334,248,226,139,78,56
1,2020-06,bedfordshire-street,1526,1539.0,483,409,295,368,237,174,149,106,113,50,23,26
2,2020-06,btp-street,427,,434,295,200,19,14,41,233,196,33,27,45,97
3,2020-06,cambridgeshire-street,2200,1610.0,559,577,430,303,285,239,200,270,149,36,45,27
4,2020-06,cheshire-street,3297,2517.0,1144,633,381,135,240,327,172,81,150,30,31,13
5,2020-06,city-of-london-street,26,47.0,24,10,22,5,9,48,53,39,15,5,7,13
6,2020-06,cleveland-street,2352,2713.0,667,698,325,177,297,223,205,46,198,47,54,34
7,2020-06,cumbria-street,1375,1016.0,403,373,167,58,115,82,95,23,49,11,21,5
8,2020-06,derbyshire-street,3220,4265.0,819,716,414,323,270,233,244,84,199,43,101,40
9,2020-06,devon-and-cornwall-street,3580,4105.0,584,1074,508,242,286,308,435,62,177,39,92,29
10,2020-06,dorset-street,1860,2863.0,317,554,345,344,247,203,119,120,43,36,36,38
11,2020-06,durham-street,2273,2102.0,478,636,373,159,241,198,140,29,172,16,19,34
12,2020-06,dyfed-powys-street,1247,1795.0,233,239,172,61,109,78,255,11,79,6,13,5
13,2020-06,essex-street,6209,5026.0,1531,1316,842,780,546,482,708,173,323,117,108,46
14,2020-06,gloucestershire-street,1417,2711.0,354,377,325,210,189,184,127,79,75,30,23,7
15,2020-06,gwent-street,1738,2123.0,743,127,268,177,163,176,214,23,151,26,28,19
16,2020-06,hampshire-street,5356,4260.0,1574,1218,691,567,673,594,543,221,267,94,200,90
17,2020-06,hertfordshire-street,2453,2850.0,497,659,566,506,293,501,262,173,162,52,65,30
18,2020-06,humberside-street,2977,1758.0,909,785,468,237,415,412,186,89,221,40,30,16
19,2020-06,kent-street,6625,4975.0,1239,1476,839,658,521,663,366,96,412,108,119,48
20,2020-06,lancashire-street,5503,14930.0,1053,1477,875,463,707,451,295,111,282,81,83,70
21,2020-06,leicestershire-street,2913,1453.0,988,766,488,407,311,230,255,101,163,57,49,64
22,2020-06,lincolnshire-street,1902,1980.0,397,541,302,205,257,234,178,88,114,16,41,13
23,2020-06,merseyside-street,4506,4074.0,1297,1076,557,486,501,353,1187,120,253,88,118,68
24,2020-06,metropolitan-street,19629,39584.0,4966,4353,5387,8102,4320,2400,4665,2548,882,1705,463,1194
25,2020-06,norfolk-street,2532,1420.0,692,627,401,154,182,225,268,73,166,22,54,25
26,2020-06,north-wales-street,2276,1607.0,540,471,298,64,157,259,164,29,117,14,31,9
27,2020-06,north-yorkshire-street,1528,2801.0,322,372,279,131,200,183,178,95,97,14,33,9
28,2020-06,northamptonshire-street,2522,2286.0,423,477,387,249,254,242,172,63,127,49,62,14
29,2020-06,northern-ireland-street,3430,6839.0,88,1342,665,181,349,269,716,79,187,42,96,12
30,2020-06,northumbria-street,4284,6274.0,1594,1582,853,515,484,530,241,180,342,55,120,64
31,2020-06,nottinghamshire-street,2976,4368.0,696,870,557,385,452,596,386,115,286,66,85,54
32,2020-06,south-wales-street,3355,5044.0,1253,880,581,448,390,450,469,135,181,39,79,53
33,2020-06,south-yorkshire-street,4324,3558.0,1321,1169,725,635,708,414,388,75,420,96,116,42
34,2020-06,staffordshire-street,3016,2977.0,496,733,518,294,253,251,153,88,141,53,42,30
35,2020-06,suffolk-street,2094,1025.0,540,511,318,157,216,166,185,57,111,28,40,25
36,2020-06,surrey-street,2282,2732.0,864,763,413,460,291,230,304,116,127,58,60,20
37,2020-06,sussex-street,3815,4987.0,1104,1045,622,504,425,457,419,221,241,104,152,44
38,2020-06,thames-valley-street,5807,2864.0,1107,1387,986,1077,725,708,617,446,392,116,183,174
39,2020-06,warwickshire-street,1521,1708.0,335,292,259,245,173,188,117,42,101,33,49,5
40,2020-06,west-mercia-street,3150,5330.0,479,678,491,260,375,415,262,94,121,33,83,13
41,2020-06,west-midlands-street,10155,4592.0,2168,1885,1257,1643,1342,681,449,177,425,493,213,86
42,2020-06,west-yorkshire-street,9796,5388.0,3041,2163,1326,1085,1180,675,764,197,635,183,180,117
43,2020-06,wiltshire-street,1426,1265.0,317,420,242,162,137,158,163,50,65,22,20,11
44,2020-07,avon-and-somerset-street,4769,3873.0,2060,1315,896,689,587,578,306,353,190,154,94,73
45,2020-07,bedfordshire-street,1535,1633.0,489,434,331,329,278,182,139,89,91,70,37,33
46,2020-07,btp-street,615,,600,299,273,24,13,66,263,295,36,58,63,181
47,2020-07,cambridgeshire-street,2529,1647.0,624,675,448,322,295,276,210,328,138,56,55,45
48,2020-07,cheshire-street,3461,2110.0,1147,753,453,220,241,420,145,107,156,33,22,17
49,2020-07,city-of-london-street,43,47.0,26,21,41,20,14,64,69,44,14,10,6,44
50,2020-07,cleveland-street,2400,2559.0,629,780,395,196,305,242,201,50,181,55,54,42
51,2020-07,cumbria-street,1604,763.0,389,445,211,45,161,105,93,19,75,6,27,9
52,2020-07,derbyshire-street,3427,3265.0,933,866,437,321,316,318,245,101,190,45,107,34
53,2020-07,devon-and-cornwall-street,4124,4309.0,830,1225,598,315,360,326,441,57,186,44,117,37
54,2020-07,dorset-street,2169,2634.0,404,600,412,372,226,254,118,112,54,34,31,42
55,2020-07,durham-street,2726,2086.0,595,776,351,166,241,283,138,30,170,9,23,40
56,2020-07,dyfed-powys-street,1315,1562.0,264,292,178,44,115,93,212,16,65,2,35,5
57,2020-07,essex-street,6747,4978.0,1672,1389,876,876,554,660,557,191,297,133,107,73
58,2020-07,gloucestershire-street,1560,2348.0,334,436,321,240,224,231,152,103,60,40,21,10
59,2020-07,gwent-street,1747,1766.0,832,111,327,194,207,198,181,24,149,13,17,18
60,2020-07,hampshire-street,6078,4364.0,1907,1367,791,717,739,704,508,227,255,121,218,75
61,2020-07,hertfordshire-street,2712,3256.0,594,729,555,613,319,604,236,134,165,70,61,59
62,2020-07,humberside-street,3504,1781.0,1094,1001,543,221,489,510,143,122,267,68,53,31
63,2020-07,kent-street,7922,4750.0,1249,1829,1100,739,537,902,354,150,495,139,109,82
64,2020-07,lancashire-street,6092,6812.0,1150,1633,982,515,781,543,290,99,263,89,110,69
65,2020-07,leicestershire-street,3067,1365.0,961,802,497,454,369,224,246,83,162,80,81,50
66,2020-07,lincolnshire-street,2222,1936.0,539,562,391,182,350,358,178,85,112,26,55,9
67,2020-07,merseyside-street,4966,3399.0,1454,1187,601,444,617,452,1138,151,281,75,135,80
68,2020-07,metropolitan-street,20991,35588.0,5584,4692,6977,8811,4928,3099,4569,2833,892,2168,453,2072
69,2020-07,norfolk-street,2925,1433.0,762,654,398,138,210,280,194,87,181,39,51,38
70,2020-07,north-wales-street,2648,1783.0,647,577,339,108,227,262,140,41,126,17,19,12
71,2020-07,north-yorkshire-street,1772,2395.0,326,442,296,149,215,209,146,75,85,16,41,13
72,2020-07,northamptonshire-street,2833,1927.0,558,524,370,271,304,224,165,69,163,80,70,19
73,2020-07,northern-ireland-street,3729,7033.0,102,1666,758,218,324,421,731,81,238,38,107,29
74,2020-07,northumbria-street,5079,1368.0,1927,1711,934,575,547,718,317,246,368,70,120,75
75,2020-07,nottinghamshire-street,3311,4231.0,672,998,670,487,409,711,374,152,274,86,120,79
76,2020-07,south-wales-street,3621,3967.0,1334,994,679,498,470,556,513,132,160,45,65,64
